score,review
6,"공포영화 무서워하는 편인데, 중간까지는 좀 무서웠고, 뒤쪽은 졸렸어요..감독이 하고 싶은 얘기가 넘 많은듯. 무섭기도 해야겠고, 사랑얘기도 넣어야겠고, 오컬트 부분도 넣어야하고... 서로 개연성도 없어요."
10,이 영화 만든 분 악마가 이 영화 만들라고 시킨듯..
5,사랑의 힘과 신파로 떡칠된 영능력 수사물
2,매우 지루함공포지수도 낮음
8,2편까진 괜찮았는데 3이 되면서 갑자기 헐리우드식 전개가 되버림..가족만세! 사랑만세!
1,컨저링시리즈중 제일 재미없다고 생각합니다. 놀라는 장면도 딱히 없고 스토리는 좋지만 무섭지는 않았습니다. 잠들뻔한거 겨우 돈 생각해서 보고 나왔습니다.
10,전편들 보다 더 새로워진 느낌입니다 비오는 날 보니 더 무섭네여
10,마치 보는내내 공포 비디오게임을 하는 느낌이랄까ㅠㅠ 다 보고 나오니까 비가와...더 무서움....
10,"생각보다 더 재미있었고 컨저링1,2 안보고 봐도 이해되더라구요!"
10,깜짝깜짝 놀라는 요소들도 많고 음향부터 장난 아니였어요.. 오랜만에 보는 공포영화였는데 역시 컨저링다웠습니다
1,잘 자다가 나왔습니다 ㅎ
10,조조로보고왔는데 아침부터 날흐려서 무섭다.. 원래 영화 3편이상끌면 후속작들 다망한다던데 이 영화는 갈수록 재밌어지는듯 적당히무섭고 스토리도 좋으니 꼭보시길
6,초반에 수시로 깜짝놀래키는건 좋았는데 중후반부터 서서히 지루하고 안무서워지고 빨리 끝났으면 좋겠다는 생각이 듬
10,이번엔 약간 스릴러 미스터리 추리 이런 느낌 났음ㅇㅇ 좀 신선해진 느낌?
1,"1,2에 비해 구성이나 전개방식이 많이 달라졌는데 안좋은 방향으로 달라져서 지루할 정도 놀래키는 화면만 늘고 전작의 몰입감과 공포감은 개나 줘버렸음"
10,"공포 못 보는데두 소재가 흥미로워서 봤는데 개무서운데 재밌고 근데 겁나 무섭고 그치만 또 재밌고 무섭고 재밌고 무섭고,,"
10,미쳤구 미쳤습니다 제임스완 작품 아니라고 무시하다 심장 재대로 멎고왔네요...ㅎㄷㄷ 걍 설명 필요없고 꼭 보세요 이번 가족 주인공 남자분 왤케 잘생김...계속 눈길가네요 ㅎ
3,요즘 영화표 값도 비싼데 이 돈 주고 봐야하나 싶음 공포스러운 초반 빌드업에 비해 후반부로 갈수록 의문스러운 스토리 전개와 진행..갑작스러운 사랑의 힘 엔딩....
1,글쎄요.. 보다가 중간에 잠듦. 악령이어쩌구.. 십자가뭐시기... 걍 지루함
7,??? : 오함마 가져와~!
4,그만해....
10,컨저링 3부 너무 잘보고왔습니다^^
9,어제 시사회로 보고 왔어요. 겁 많은 편인데도 잘만 봤습니당 재밌어요
2,컨저링 4는 안볼거같아요
7,soso함 이전 컨져링보다는 약함
7,컨저링 시리즈 물을 좋아하면 추천 단순히 엑소시즘 호러 무비를 원한다면  비추천호러 보다는 오컬트  추리물에 가까움ㅇㅇ
4,이제는 소재 거리가 떯어진거 같아요.중반부 부터 이 영화를 왜 보고있는건지지루했습니다...
9,"확실히 1,2편이랑은 색다른 분위기... 오프닝씬은 엑소시스트를 연상케했다..."
8,기대이하에요 ㅠㅠㅠ 큰 기대를 했나봐요
8,볼만한데 그리 무섭지는 않아요
6,공포영화 보러갔는데 로맨스영화 보고나온거같아요초점을 그냥 액션 스릴러쪽으로 잡으면 연출은 나쁘지 않았는데 호러..? 모르겠네요. 일식집 들어가서 짜장면 잘 비벼먹고 나온 기분이었습니다.
7,컨저링 특유의 어두운 분위기는 초반 지나면서 사라진다.전개 방식도 전과 다르게 유치한 클리셰가 반복되고 깊이도 없다.워렌 부부의 매력으로 캐리.
1,오랜만에 남편과 영화관가서 데이트 했는데 둘다 공포영화 보다가 잠든적은 처음입니다 컨저링 시리즈 중 최악..어느 부분이 공포인건지 모르겠네요
6,1탄만큼의 공포감을 주는 연출이 부족했음
8,엄청 부서울 줄 알았는데 그렇게 안무서워요
10,쥐새끼까지 놀래키고 ㅈㄹ
10,컨저링은 절대 우릴 실망시키지 않음 ....
10,"어디까지나 믿는건 여러분들의 몫임.워렌부부도 고생이 많았는데, 기대이상이었고 후속작도 발표했으면 한다ㅠ"
10,와 진짜 생각했던거 이상으로 무서워서 다리 떨면서 집에 왔음... 서스펜스도 장난 아니고 빌드업도 오졌음 인생 공포 시리즈 ㅠㅠ
10,순간순간 터지는 효과음이 진짜... 장난 아니더라..
10,오줌 지릴뻔 무서워서.실화라니 진짜
10,시사로 봤음. 12랑 확실히 다른느낌인데 난 엄청 재밌게봄. 스토리가 끝까지 끌어가는 힘이 좋았고 워렌부부 연기 흡입력이 장난 아님. 너무 쫄고 봐서 한번 더보려함
10,와 진짜 처음부터 완전 끝장남 ㅜㅜ 마스크 없이 봤으면 소리질러서 진상 될 뻔햇음 ㅜㅜ
7,음향이 다 한듯 1편2편 비해서는 별로
6,쏘쏘해요 .. 재미없지도 않구
10,컨저링 3: 아빠가 시켰다
10,예고편에선 엄청 무섭다고 기대 만땅 했었는데 생각보다 안무서워서 좀 슬픔요ㅠ.ㅠ
10,컨저링에 나오는 사건은 매번 흥미로움. 믿고보는컨저링
10,미쳐따 심장 부여잡음 ㅠㅠ
8,악령보다 악의에 찬 사람이 더 무섭다.워렌 부부 찐사랑의 힘으로 악령퇴치-☆
10,집에서 컨저링 1.2편 봤을때 딱히 안 무서워서 방심하면서 극장갔다가 눈물이 차올랐습니다
4,돈이 아깝습니다
10,이영화는 10분마다 갑툭튀가 있는거 같아요. 갑툭튀에 안놀란다 상관없다 하시는분은 최고의 공포영화가 될거같아요.개인적인 생각으로는 컨저링 시리즈중에 제일 재밌게 본거 같아요. 기회가 된다면 꼭 보시길 바랍니다. 그리...
6,컨저링 시리즈 이제 그만할 때 된거같다
10,나름 재밌게 보았다고 한다.
9,어우 무서워... 그리고 어니?인가 서브남주 잘생김ㅋㅋㅋ 섹시해...
10,이쯤이면 놀랄만한 타이밍이다 하고 마음의준비를하고 봤는데도 대깜놀하면서봤네요 ㅋㅋㅋ 역시 컨저링 시리즈는 명불허전
9,ㅠㅠㅠㅠ 쫄보가 무슨 자신감으로 혼자 보러갔는지.. 오랜만에 간 영화관은 역시 사운드가 미쳤네요 자꾸 깜짝깜짝 놀라서 죽는 줄
10,"실화를 바탕으로 한 것도 소름이고, 결말도 마음메 들어요!"
1,초반에는 흥미롭게 봤는데 스토리가 갈수록 난잡해짐; 내 13000원..
