score,review
2,최악이네 무슨 주연여배우 연기가 참나 관객을 우롱하네
10,나만 재밌게봤나...딱 그 역할에 그 역이던데.
2,비형 매도하고 혈액형 따지는 영화같아서 안봄. 별로 제목부터 맘에 안듦.
10,한지혜보다 정려원임
1,한지혜 아무리 봐도 못생김...볼때 마다 엄앵란 분 생각나고 촌스럽게 생겼다. 못생긴게 꼴에 주연이라고 려원씨한테 질투해서 그딴 텃새부리는거 이제서라도 창피한 줄 알길... 하긴 데뷔전부터 말 많았다고 하는데 그게 ...
1,"주인공을 훨씬 예쁜 정려원이 해야지. 어디서 못생기고 싸가지없고 연기도 못하는 한지혜가 주인공 잘못 해서 영화를 망하게 만드냐ㅉㅉ 싸가지없는게 착한척 연기해봤자 이미 소문 다났다ㅉㅉ 스텝,배우들한테 텃새나 부리는 졸..."
1,이작품이 이 작품이군 ~
2,시간아까운영화ㅋㅋㅋㅋ
10,별점테러에 낮은 별점 너무 아쉽네요..재밋던데
3,내가 이딴것도 봤었구나.
7,"솔직히 한지혜와 이동건 리즈시절 영화고, 둘만의 매력이 잘 녹아있는데 평점이 너무 적네요."
1,와.. 다들  젊은거 봐봐.. 특히 이현우 완전..
3,[ S3 V3 D3 A4 ]　혈액형에 대한 오해가 유행할 때 업혀갈려다 망했다..
7,테드 수업시간에 잠깐봤는데 나름 재밌었음ㅋ 7점 정도는 되는듯
10,재밌게만 봤는데 평점이 왜이리 구림
10,이 영화 재밋는데~ 사랑은 하나의 기쁨을위해 천가지의 아픔을 감수해야된다
10,B매너들 테러질이 너무 심했음
1,너무 식상하고 바보같은 주제
1,영점 없나..감독은 3대가 벼락맞아 죽을 것이다. 내가 평생 저주하지..
3,B형들이 정말 저러나??그저그런 한국형 로맨틱 코메디 영화
1,정려원 화이팅! 텃세 영화 1점 주고 갑니다 ㅎ
7,당시 붐이었던 혈액형론을 살려 재밌게 만든 편인데...
1,한지혜만 욕하지말고 최석원+관계자 인간들 니들도 참 한심하다 감독이라는 인간이 너같은 감독들 널리고 널린건 아는데 이렇게라도 해야지 진자 암담하다 한국 영화계던 뭐던 너같은 인간들 때문에
1,초등학교 때 아무 생각없이 재밌게 봤었는데 어른이 된 후 다시보니 정말 쓰레기만도 못한 영화다. 비정상적이고 비도덕적이며 비상식적인 영화.
1,한지혜가 정려원 뒷담화하고 텃세느끼게하고 무시했다고 하던데 이거구나 .연예인들 세금좀 잘좀내라
1,영화내내 영빈이란 케릭터보고 욕 나왔던 영화1점은 한지혜  땜에 준다
1,제대로 본 기억은 하나도 없지만 어차피 그저 그런 유사과학소재의 영화아닌가요? 혈액형성격설에 부채질을 한.
1,이 망할 영화땨문에 b형남자는 그러하다는 이상한 편견이 생겨 사귀는 여자마다 아주 오해를 불러일으킴 사장시키고 싶은 영화임
6,기대안하고 가볍게 볼만합니다
10,"개개인적으로 보면 진짜 매력있는데, 집단이 되면 ㅈ망하는 혈액형. B형 많은 나라 북한,인도,중국,아랍,동남아 치고 잘사는 나라가 없음.... 근대 개개인적으로 보면 매력넘침."
1,b형이 뭐 어째? 이런 ㅅ같은영화
10,여자친구랑 재밌게 봤었음 우리 커플도 남자 B형 여자A형..
1,야 한지혜 정려원 무시하지마라
1,klasdoilnfiohsdo
10,평점에 비해 훨씬 볼만함
2,b급 저예산 로코물이라도 정도가 있다 ..이건 아니잖아!?
1,이딴 영화 때문에 B형 이미지 안좋아 졌다.조용히 사는 B형 건들지 마세요
10,이 정도 별점은 아닌데..7점정도
1,혈액형따윌 믿는 천하의 할짓없는 식충이 배추김치녀들이 좋아할만한영화-00점은 주고싶다
10,괜찮았는데 왤케 평점이 낮지
1,정려원...넘불쌍..
1,"이게 바로 그 정려원이말한 텃세를 느꼈다던 작품!!! 스탭,감독,한지혜가 정려원 개무시하고 그랬다고!!! 심지어 정려원이 한지혜보다 언니였다는데...."
1,혈액형 신드롬의 원흉..
9,b형들이 깎은거임? 졸귀ㅋ
6,"로맨틱 코미디의 한계는 분명하지만, 차별적 매력이 툭툭 도드라지기도."
1,"이런 영화도 만들어 지는데,,,"
10,초딩때 봤었는데 재밌음ㅋㅋㅋ이동건은정말 잘생겼네+_+
5,로맨스라고 하기엔 스토리가 너무 얼렁뚱땅 넘어간다. B형 남자만 쓰레기로 몰린 듯한 영화. 서양에서는 자신의 혈액형도 모르는데 유독 한국만 혈액형에 집착하는거 같다.
10,몇년이지나도 재밌다 공감가는영화.
1,혈액형은 무의미함....미신임
10,재밋던데 별점좀높여줘야지
1,이런걸 영화라고.. 한심
9,잼써요~~강추합니당^^
10,B형남자성격딱맞네요
10,아련한 옛 추억이 생각나네~
10,솔직히 혈액형별 타입 이런걸 믿지 않지만-영화보는 내내 유쾌하고 달달한ㅓㄱ당히 보기좋은 로맨틱 코메디! 나쁘지않아다^^ 근데 정말 평점 너무 낮네; 괜찮았는데...이동건 한지혜 커플도 넘 사랑스러웠고...
5,평점 쓰는 사람들 보면 혈액형 전문가들이다..ㅉㅉㅉ
10,추억의 한조각^^ 이런 순수하고 재미진 영화 좋아요♥.♥
6,"내 경험으로 B형은 최악의 쓰래기다. o형a형ab형 다 또라이들 많지만 경험상 B형이 문제가 많음. 옛날 친아빠 B형인데 가정폭력,똥자존심,바람피고,안그래도 B형 성격이 개인데 술만먹으면 진짜 진상됨. 친척들중에 B..."
10,음.... ㅋㅋ 10년전거라 그런지 멘트가 오글거리고 못봐주겠던 장면들도 많았지만... . B형남자 제대로 표현한듯.. 비슷하긴함..
1,tv 전기세가 아깝다!!!
1,B형을 너무 착하고 매력있게 그려놨네ㅋ
10,"B형의 특징 : 다혈질, 할말다함, 충동적, 이기적, 뻔뻔함, 약속/규칙안지킴, 우기기, 아는척 잘함, 남의식 안함, 남에게 피해줌, 바람끼, 거짓말, 배려없음, 반성없음, 제멋대로, 건방짐, 뒤통수, 사기꾼으로 교..."
5,혈액형 그런건 솔직히 못 믿겠음 그냥 심심할때 볼만했음장나라의 노래 너무조아뜸><ㅎㅎ
10,비싼돈주고 장나라 노래 잘들었던 영화
10,b형남자가다그런건아니던데~영화는재밌음ㅋㄷㅋㄷ~매력쩔어
4,혈액형으로 포장하기엔 너무 개념 없고 이기적인 남자 주인공은 끝까지 비호감이다. 이런 주인공과 영화를 살리는 건 전적으로 신이의 코미디 덕분이다.
10,어릴적에 재밌게 봤는데
2,어쨋든 결국 혈액형이 성격과 관련있다는 내용임...
10,와닿던데z 내 남친같음
10,"나는 O형남잔데 B형은 여자는 괸찮은데 남자는 좀 문제있다고 본다. 인도,아랍,몽골,조선족 애들보면 B형남자 성격 나온다. 똥꼬집이 너무 쎄고,너무 자기 중심적이다. 반면 A형남자는 다좋은데 남을 이용하려하는 경향있..."
7,혈액형으로 성격성질을나눈다는것이참으로웃기는일이지만  그런책자나내용상글을보면 반이상은잘맞아떨어지더라..난여자A형이지만 갠적으로B형을만나고싶다..단한번도B형을만나본적이없음..전부다A형..A형기피증이생길정도~~`영화는잘봤...
4,별로 웃기지도 않고 그렇다할 감동도 없고 주제도 없고 별 내용도 없다.
1,저주받은 우생학의 사생아.
1,개OOO영화감독도진짜못됐네 0점 주고싶네1점도아깝다
7,이동건 넘 잘생기셨음!!!>_<
10,재밌는디 ㅋㅋㅋㅋ 비형들뿔나서 평점테러했네ㅋㅋ
7,킬링타임용
7,심심할때 보기 좋은 영화~
5,나도 비형인데ㅋㅋㅋ 영화는 볼만함
1,아 진짜 재미없어 허구임
8,평점이 왜이래? 근데 혈액형과 인간의 성격과는 전혀 관계없는거 아시죠!
3,편견을 너무 심어주는 것 같네.... 1점은 너무 나쁜것 같아서 3점임
10,킬링타임용 영화. 7점은 받을 영환데
10,아직도 생생하게 기억에 남는다. 어린맘에 봐서였는지 난 두근거렸음 스토리도 괜찮고
10,B형남자들은 빡친다고 이렇게 좋은영화에 낙서를 하면 돼나...... 엄청나게 재밌는데
5,가볍게 보기에도 좀 허접하구 유치한게.. 많이아쉽다.려원이가 저시절엔 꼬봉이었네.
7,약간은비슷하나혈액형편견이좀지나친듯.킬링타임정돈되던데..평점이좀낮은듯
10,티비에서 방송해주는거 봤는데..평점이 생각보다 낮네여ㅜㅜ괜찬든데ㅜ
7,영화 설정자체는 짜증났지만 재미있었다.
10,비형편견이많아졌다좋은거아닐까비형들에겐반전의원동력과편견을무너뜨릴힘을줬으니
10,햐 역시 내 남자 이동건 버스에서 감동이엿는데......버스공포증ㅠㅠ
1,쓰레기더ㅏㅋㅋㅋㅋㅋㅋㅋㅋㅋ돈주고봣엇는데내돈돌려내
7,정말까진아니더라도 나름잼께하려고 노력했떠만 멀 ㅎ
3,3.1
10,이동건머싯떠...............ㅠ
10,평점 너무 낮다 .  볼만하던데 ㅋ
4,이 영화 완전 시간 아깝잖아?
1,OOO기영화 쓰레기통에 집어처넣어버리고싶ㄹ다
1,극장에서 보다 토할뻔 했음 돈아까워 죽는줄..
10,난 재밌게 봤는데?? 비형님들 진정하셈.....
10,비어있긴해두 재밌게봤는데..
6,인터넷에 떠도는 혈액형유형보고 대본 쓴 듯한 영화 ㅋㅋㅋ
10,온갖 B형 남자들은 다 0점 줬나보네 ㅋㅋㅋㅋ 소재 자체가 남자들을 빡치게함 ㅋㅋㅋ
6,준수한 한국형 로맨틱 코메디.
3,결론은 괜찮은 남자라는 거아냐?? 완전 인간 쓰레기더만..
1,이것조차 아깝다
1,즐
10,완전 재밌음 ㅎ
1,개봉했을때 설날이랑 걍 봤었는데 진짜 최악이었음. 그냥 혈액형유형따라 만든 영화.
1,기가 막혀서 원 ㅡㅡ;
5,공감안되네
8,난 전형적인 b형이다. 그래서 볼만은했다. b형남자가 아니라면 좀 유치하니까 비추천
1,혈액형으로 사람판단하게 하는 더러운 영화
10,유쾌한 영화.
10,전 b형 남자입니다만 영화 속 영빈처럼 하지는 않죠.^^;;;영화는 재밋네요.*^^*
10,킬링타임으로 굿인데 왜그래 난 극장에서봤다고
1,이게 뭐니 이게
10,재밌는데 왜들그러시는??ㅋㅋ고1인 제수준엔 열라재밌는영화 나도 B형이므로 추천꽝!!
2,'트렌드 겉핥기'라도 제대로 해냈다면..
8,사회적 관심사를 영화로 옮기려고 노력했으나 뭔가 아쉬운...
10,넘 재밋다. 한지혜 너무 아름답다.
4,"뭐, 오래전에 봐서 기억도 가물가물... 그만큼 인상적이지 않았다는 뜻?ㅎㅎ"
1,재미없고 진짜 쓰레기영화 킬링타임으로도 절대보지마셈
1,필요 없는 영화.
2,어이없는 억지 저렇게 재수없는데 빠지면 된장들은거 아닌가 모르겠네
5,기억에 남는건 한지혜랑 끝날때 나오는 노래뿐.. 스토리가 너무 엉성..
4,완전 쓰레기는 아니고 그냥 보면 멍때리는 영화
2,마치 70년대 영화같은 세련됨과 구성. 멋지다
1,깊이없는 좌충웅돌 로맨틱코미디
4,짜증만 나는 별로임..
1,재미도 없고 공감도 안되고...이거 만든 의도가??김독 머리속이 궁금하다
2,머야 이거 ㅡㅡ 짜증나는 캐릭터들..
8,"이떄 한지혜보고, 반했었는대, 지금은 아니지만, 날 설레게했던 영화"
6,그저그럼
1,영화제목에 b형이라는 주관적인 내용이 들어간 자체가 영화의 질을 떨어트리지.
4,별로 재미를 못느꼇다..
1,B형이 어떻다고요 ㅡㅡ
1,상당히 유치하고 인위적이며 비형을 상당히 포장하고 있다.
1,누구를 위한 영화인가? 배우들의 출연작품 한줄 늘리기 위한 영화? 답읍따
1,B형 남자들 그래도 인기 많타는ㅋ 난그래~
8,괜찮아요
1,B형을 떠나서 내용자체가 쓰레기 -_-;
1,이 쓰레기 영화를 돈내고봤다--;
1,평점깎고싶게만드는 최악의 쓰레기영화
1,의학적 과학적으로 규명되지도 될 수도 없는 혈액형 성격 가지고 만든 영화라 쓰레기
1,별로
5,별로 할말이...
1,별로
1,나를 화나게 만든영화
10,잼써 ㅋㅋ
1,b형의 힘을보여주지
1,왜이렇게 혈액형이 집착하는거지
1,재밌냐
10,재밌던데ㅋㅋ
1,영화를 너무 대충만든거 같아
10,와이거 평점 너무낮다;; 어디서온외계평점이냐 다b형들인가 ㅋㅋ
10,난 재밌게봤는데
2,이런영화는 만들지 말아 주세요
1,그냥 트래쉬 영화
10,영화관에서 처음으로 팝콘으로 숙식제공받고 왓다
5,그저 그랬다..
2,나를 우롱했던 영화!!!
6,b형이 다 똑같은건아닌데..
3,영빈진짜재수없었다-- b형남자싫어..
5,그냥............. 재밌지도않았고재미없지도않았던 그냥그런영화
7,"그냥 볼만했던영화 , 좋지도 나쁘지도 않았던영화 .."
1,"으악, 예고편이 전부.... 내가 처음으로 선택 실수한 영화."
10,한지혜 너무 귀엽다
10,이동건과 한지혜의 러브스토리 같았음
1,어라 이 영화 뭐였지??
2,극장안 내친구 2명포함 총 5명이 본그때를 회상하며 2점
8,B형 남자와 A형 여자의 사랑이야기...
2,한국영화 1보퇴보의 획을 그었다
5,B형임에도 불구하고 공감이 안가는 건..
6,혈액형이라는 트랜드를 따라 만들어진 그저그런 영화
5,처음부터 끝까지 어색하고 불편한 영화
7,볼만..ㅋ
4,그냥 그저그런..
10,재밌는데- -;
1,시간아깝고 1점주는것도아깝고 왜 만들다가 말으셨는지...^^?
10,너무 재미있었다 B형의 성격을 잘표현 했고 이동건 한지혜 커플의 연기 굿~~~
8,괜찮았음
6,그냥 그랬어용 ㄷㄷㄷ
3,코미디영화였어?
2,B형과 다른 혈액형남자와의 차이점이 뭔지...
7,"왠만했음,특히 한지혜,,,"
10,난 재밌던데 ....
6,가볍게
6,최대한 후하게준 점수
10,재밋던데 어떄??????????????
