score,review
8,욕먹을 만한 영화 아닌거 같은데 뭐지? 정유미만 별로고 다 괜찮은데
1,영화관에서 돈내고 봐서 평생 후회할거같던영화
10,감독믿고 봤더니 역시나… 이런 영화가 왜 노잼으로 소문이 났는지 안타깝다사회이슈가 결부도 잘되었고 스토리도 연기도 좋은 영화다
10,재밌었어요 후반에 너무 감동이었습니다ㅠ꼭 보세요!!
6,감독이 저런 염력 갖고 싶었나 봄. 스토리가 너무 뻔하고 비현실적임
1,한국경찰은 악마인가요? 난간에서 떨어져서 죽기직전인 사람한테 물을쏘는게 정상적 연출인지 모르겠습니다.
1,시사회로 봤는데 중간에 나갈뻔했던 내 인생 최악의 영화
10,연상호 감독님꺼는 이제 안보는걸로..
2,인생 최악의 영화 ...
1,"'핳 OO.."" 영화 다 보고 난 뒤 내 첫마디."
2,
1,조잡한 연출 시간아까움
4,재미도 메세지도 아마추어적인...
1,배우들이 너무 아깝다...
10,가족끼리 볼만한 영화임!
6,ㅋㅋㅋ 코미디 영화 맞네요~!
10,스토리 없음. 감동 없음. 어린이용 영화. 그냥 두시간 동안 아무생각없이 보면 웃다가 스트레스 좀 풀고 나옴. 묘한 통쾌함이 있음. 6.18 평점이 너무 낮은거 같아 10점 줌. 내각 생각하는 평점은 7.0 정도임....
2,북한 이야기 꺼내는 순간 작가와 감독이 답답함 주위 스텝 생각안하고 영화를 찍나?
10,? 재밌는데 왜 망했지?
10,그냥 음 어이없게웃기던댘ㅋㅋㅋ 배우님들 연기는조앗어요
8,
1,이 영화를 99만명이나 봤다는 게 놀랍다
1,넷플릭스 나왔길래 봤는데 진짜 최악;;웬만한 영화 그냥 다 보는데 제가 본 영화중에 제일 최악이고 킬링타임용도 안돼요;
10,잼있어요.~~^~^~~~
1,영화배우들 이런거 촬영하고 연기하고있으면 자괴감 안드나?
10,꿀잼재밌어요~~~
8,초2  남매둥이랑 잼나게 봤어요ㅋ
7,중간중간 지루해도 볼만함
3,화끈해야할 소재에 우중충할 뿐인 메세지. 두 가지를 버무려보려 한 건지는 몰라도 신파에 묻혀서 두가지 다 못챙겼다.
1,2021년 8월10일 집에서 bv 무료영화로 봐서 다행이다
1,걍 wow할 말이 없다ㅋ
10,염력..이영화는정말재미잇어고다시보고십은영화입니다..
9,네이버 평점보고 재미없을거같아서 4년간 안본내가 OO같을정도로 잼있었다 네이버 평점 다신 믿지 않을테다 기대안하고 봐서 그런지 몰라도 잼있었다 난..
2,별1개가 왜 2점이지?1점주려했는데
2,영화는 쓰레긴데 신은경 너무예뻐서 2점?
1,역시 류승룡 믿는 배우^^ 믿고 거르면 되는 배우절대 안 봐야지 영원히 ㅎ
1,ㅋㅋㅋ 이런 영화가 있었다니...! 정말 웃었습니다 ㅋㅋ
6,살짝 유치하긴 합니다 ㅋㅋ
2,박정민볼라고본영환데 좋은연기자들많이나오는데 정유미저리연기못하는지몰랐네.안어울리는역이라도저정도라니..
1,이 영화를 보고 울었습니다. 이걸 돈주고 봤다는게 너무 슬펐습니다
8,정말 재밌네요.집에서 발꼬락 꼼지락거리면서 혼자보니
10,이런영화가 많이 나와야됨
1,
1,
10,박정민의 연기 역시 최고였어요!다음 작품에서도  이런  캐릭터해주세요ㅠㅠ
10,평점에 속지말길.잘만든 영화고 용산참사 본떠만든영화라 정치알바들 낮은평점과 댓글로 도배한듯.오세훈 시장때 용산 철거민 제압하려고 경찰특공대까지 투입시켜서 결국 사망자발생되고.영화도 재미있습니다.
3,아니 ㅋㅋㅋ 아무리그래도 죽기살기로 매달려있는사람한테 물대포 쏘는게 말이냐
1,내가 만들어도 이것보다 잘만들겟다
8,상상력이 좋았지만ㅠ   연출이랑 연기가넘 아쉬웠어요특히 정유미언니ㅠ  연기넘 어색하네요...  심은경씨도 늘~~같은연기!같은영화보는듯한  아쉬움이...안타까웠습니다 류승룡오빠 연기는좋았어요!
6,음? 다들 왜이렇게 비평을 많이 하징..신파 역겨운 거 말고는 엉덩이 긁으면서 아무 생각 안 하고 보면 볼만하던데;;
2,믿고 거르는 류승룡 영화인데 류승룡 나오는지 몰라서 못 거름ㅋㅋ가족들 모두 어이없어서 욕하면서 봤어요. 3류 오브 3류 영화
10,설사 초능력이 있어도 사악한 자본가는 이길수 없다는 씁쓸한 현실.
8,"염력이라는 독특한 소재와 배우들의 연기는 좋았는데철거민들이 용역과 맞서 싸우는 그런 진부한 내용보다 유머러스하고 유쾌한 쪽으로 스토리를 만들었으면 좋았을거같단 생각이 드네요.간간히 염력쓰며 코믹한 장면이 있었지만, ..."
2,점 젊고 잘생긴애가 염력했느면 그나마 이뿐맛에 보기라도하지 웬 50대 할배가 연기하는데 유치하고 유치해서 중간에 보다가 짱나서 껏음. 그리고 정유미 연기좀 더해야될듯.
4,능력이 아까움. 정유미는 연기 잘함. 새롭네~
1,OCN에서도 그만 보여줫으면 좋겠다. 진짜 이런것도 영화라고..경찰 방패두드리면서 스파르탄처럼 등장할때 최악의 정점을 찍고 간신히 붙들어논 내마음도 찢어졌다.
1,역시 믿고 거르는 연상호
6,류승룡의 우스꽝스러운 염력을 사용하는 연기만 기억 속에 남는 영화.
10,솔직히 이 영화가 왜 망했는지 모르겠음진부한 스토리이기는 하지마 나름대로 웃긴 장면도 많았고 킬링타임용으로 딱 좋은것 같음
