score,review
7,볼 건 배우들밖에 없음 연출 그냥 연말에 따뜻한 감성 느끼기에만 좋은 영화 연출은 정말 별로임..
1,별점에 빵점은 왜 없음? 곽재용 감독 한게 뭡니까 ?? 억지로 꾸겨 넣은 퍼즐 같은 영화
2,이게 영화야...? 진심?
10,굿
10,
5,설득력 없는 각본.곽재용의 심플하지 못한 연출.단점이 많지만 한지민.윤아의 후덜덜 미모와 윤하의<느린 우체통>은 확실한 장점.
2,
6,티빙으로 봐서 다행...배우들이 아깝네요 ㅠㅠ 너무 뻔하고 연출도...
1,관객을 아직도 우습게 보고 있는 영화계 계속 이따구로 관객을 우롱할바에는 언젠가. 자멸하기를 소원한다.
10,영화가 참 이쁘다그때 감정에 따라 다르게 느껴질 것 같은 영화
6,더 달달했어야ㅠ 아숩네요 이도저도 아닌;;
10,새해의 시작과 함께 했어요~뻔하지만 뻔해서 재밌는 영화에요넘나 제 취향이어서 누가 만들었나 하고 봤더니곽재용 감독님ㅜㅜ 역시나ㅠ감독님 영화 많이 만들어주세요!!
10,이진욱 한지민 얼굴 본 것으로만  만점사랑합니다
10,많은 배우들을 볼 수 있는 것으로 만족한 영화
8,조금은 뻔한 스토리에 약간은 지루하나 배우들 보는 재미
1,잉 진짜 대대대대ㅐㅐ노잼1.1일에보려고 아껴뒀는데 내용완전짬뽕에 대노잼
8,다들 연기도 잘하고 감동도 있다
10,나 이런거 좋아했네ㅋㅋㅋ
4,진부하고 문제의식도 얕고...
1,러브액츄얼리 그만해 질린다
1,"나 잡아봐라를 하지 않나...아재들이 다니는 대학이 꼰대라고 하지를 않나...진짜 재미없는 연출과 말장난으로 재미, 감동 하나 없었음. 중간에 더이상 못참겠어서 나왔는데 돈과 시간이 모두 아까웠음."
9,흔한 스토리에 k식 로코..하지만 배우 비주얼과 연기력이 훌륭함옴니버스를 통한 청소년부터 노년까지의 로맨스를한번에 즐길수 있는...(심지어 남자들의 찐한 우정까지...)킬링타임용으로 훌륭했음!!
9,사람들 평점보고 기대 별로 안했는데나름 유쾌하면서도 마음 따뜻해지는영화였습니다 출연진보고 윤아가 언제나오나했는데 중요한 역할이었군요 영화 괜찮았어요
10,"연말에 딱 보기 좋은 영화이고, 꼭 연말이 아니더라도 연말의 분위기와 여운을 느끼고 싶을 때 보면 좋을 것 같아요! 재밌었어요!~그리고 배우들 라인업이 너무 좋아서 연기랑 외모 등 볼거리가 많은 영화예요! :) 특히..."
8,예고편 내용이 다지만 따듯한 영화 재미있었음
1,하.. 이게 뭐냐… 배우 얼굴이 다 함 이거 ㄹㅇ 그냥 발로 만든 영화임
1,이딴거 영화랍시고 투자받아서 만들지마라
10,이동욱얼굴 10점만점에 10점!!!
8,허허.. 그냥 배우들 보는 맛
1,배우들 이뻐서 1점줌. 영화 ㄹㅇ 발로 만들었노 ㅋㅋㅋ
